ID,kwh
2024-09-24_consumer_device_12_data_user_1,0.1685323983258749
2024-09-25_consumer_device_12_data_user_1,0.3625922017675075
2024-09-26_consumer_device_12_data_user_1,0.5525364010539088
2024-09-27_consumer_device_12_data_user_1,0.5369031652519661
2024-09-28_consumer_device_12_data_user_1,0.1812058228827263
2024-09-29_consumer_device_12_data_user_1,0.1480020804158593
2024-09-30_consumer_device_12_data_user_1,0.1904248721259828
2024-10-01_consumer_device_12_data_user_1,0.0234717247369881
2024-10-02_consumer_device_12_data_user_1,0.1141945333513613
2024-10-03_consumer_device_12_data_user_1,0.09079608556956
2024-10-04_consumer_device_12_data_user_1,0.0234717247369881
2024-10-05_consumer_device_12_data_user_1,0.0361451492938394
2024-10-06_consumer_device_12_data_user_1,0.0453641985370959
2024-10-07_consumer_device_12_data_user_1,0.0168459420385952
2024-10-08_consumer_device_12_data_user_1,0.0234717247369881
2024-10-09_consumer_device_12_data_user_1,0.0361451492938394
2024-10-10_consumer_device_12_data_user_1,0.0670292240395392
2024-10-11_consumer_device_12_data_user_1,0.1110570319290454
2024-10-12_consumer_device_12_data_user_1,0.099588982790261
2024-10-13_consumer_device_12_data_user_1,0.1110570319290454
2024-10-14_consumer_device_12_data_user_1,0.0330076478715236
2024-10-15_consumer_device_12_data_user_1,0.0410000933627779
2024-10-16_consumer_device_12_data_user_1,0.1614722691304232
2024-10-17_consumer_device_12_data_user_1,0.0562164634759719
2024-10-18_consumer_device_12_data_user_1,0.1367215747307236
2024-10-19_consumer_device_12_data_user_1,0.0168459420385952
2024-10-20_consumer_device_12_data_user_1,0.0234717247369881
2024-10-21_consumer_device_12_data_user_1,0.0234717247369881
2024-10-22_consumer_device_12_data_user_1,0.0234717247369881
2024-10-23_consumer_device_12_data_user_1,0.0234717247369881
2024-10-24_consumer_device_12_data_user_1,0.0725855455096061
2024-09-24_consumer_device_12_data_user_10,0.0564238396766777
2024-09-25_consumer_device_12_data_user_10,0.1092018869533385
2024-09-26_consumer_device_12_data_user_10,0.1171943324445928
2024-09-27_consumer_device_12_data_user_10,0.131587349839061
2024-09-28_consumer_device_12_data_user_10,0.131587349839061
2024-09-29_consumer_device_12_data_user_10,0.1773409461896117
2024-09-30_consumer_device_12_data_user_10,0.2368456118568028
2024-10-01_consumer_device_12_data_user_10,0.0168459420385952
2024-10-02_consumer_device_12_data_user_10,0.0168459420385952
2024-10-03_consumer_device_12_data_user_10,0.0168459420385952
2024-10-04_consumer_device_12_data_user_10,0.0168459420385952
2024-10-05_consumer_device_12_data_user_10,0.0168459420385952
2024-10-06_consumer_device_12_data_user_10,0.0168459420385952
2024-10-07_consumer_device_12_data_user_10,0.0168459420385952
2024-10-08_consumer_device_12_data_user_10,0.0168459420385952
2024-10-09_consumer_device_12_data_user_10,0.0168459420385952
2024-10-10_consumer_device_12_data_user_10,0.0980455051469798
2024-10-11_consumer_device_12_data_user_10,0.0630496223750706
2024-10-12_consumer_device_12_data_user_10,0.0630496223750706
2024-10-13_consumer_device_12_data_user_10,0.0234717247369881
2024-10-14_consumer_device_12_data_user_10,0.0451367502394314
2024-10-15_consumer_device_12_data_user_10,0.0900530596557255
2024-10-16_consumer_device_12_data_user_10,0.0612987685310836
