ID,kwh
2024-09-24_consumer_device_12_data_user_1,-0.2989846770982148
2024-09-25_consumer_device_12_data_user_1,1.1469413796354324
2024-09-26_consumer_device_12_data_user_1,0.447705508101354
2024-09-27_consumer_device_12_data_user_1,0.2914191187817878
2024-09-28_consumer_device_12_data_user_1,0.6851893111507938
2024-09-29_consumer_device_12_data_user_1,0.9586183304206876
2024-09-30_consumer_device_12_data_user_1,0.5116549704907261
2024-10-01_consumer_device_12_data_user_1,1.0649094425306536
2024-10-02_consumer_device_12_data_user_1,2.6257766508383606
2024-10-03_consumer_device_12_data_user_1,1.6212821533109318
2024-10-04_consumer_device_12_data_user_1,3.862135081701118
2024-10-05_consumer_device_12_data_user_1,3.044721436376315
2024-10-06_consumer_device_12_data_user_1,2.4097128824089245
2024-10-07_consumer_device_12_data_user_1,0.3550137062217923
2024-10-08_consumer_device_12_data_user_1,-0.0202297276382537
2024-10-09_consumer_device_12_data_user_1,0.5362029339742452
2024-10-10_consumer_device_12_data_user_1,0.0018687193187681
2024-10-11_consumer_device_12_data_user_1,1.8664702875784
2024-10-12_consumer_device_12_data_user_1,0.8837357110910109
2024-10-13_consumer_device_12_data_user_1,1.061643226204788
2024-10-14_consumer_device_12_data_user_1,1.693604043084902
2024-10-15_consumer_device_12_data_user_1,0.6338812958547316
2024-10-16_consumer_device_12_data_user_1,1.6077555603027354
2024-10-17_consumer_device_12_data_user_1,0.4375016596404226
2024-10-18_consumer_device_12_data_user_1,0.820298312144895
2024-10-19_consumer_device_12_data_user_1,-0.6957849209533989
2024-10-20_consumer_device_12_data_user_1,-0.1120556117957952
2024-10-21_consumer_device_12_data_user_1,-1.1961963749918634
2024-10-22_consumer_device_12_data_user_1,-0.4157186136206636
2024-10-23_consumer_device_12_data_user_1,0.3242447038463822
2024-10-24_consumer_device_12_data_user_1,0.8000239412958614
2024-09-24_consumer_device_12_data_user_10,0.6261429520603585
2024-09-25_consumer_device_12_data_user_10,1.6336242728375765
2024-09-26_consumer_device_12_data_user_10,1.7375308065129942
2024-09-27_consumer_device_12_data_user_10,1.8124888631323848
2024-09-28_consumer_device_12_data_user_10,1.833791611501372
2024-09-29_consumer_device_12_data_user_10,1.4001833381285846
