ID,kwh
2024-09-24_consumer_device_12_data_user_1,0.1659185202109038
2024-09-25_consumer_device_12_data_user_1,0.4296248255079954
2024-09-26_consumer_device_12_data_user_1,0.3275326299729167
2024-09-27_consumer_device_12_data_user_1,0.2362277095919817
2024-09-28_consumer_device_12_data_user_1,0.352372182790783
2024-09-29_consumer_device_12_data_user_1,0.1167625693736008
2024-09-30_consumer_device_12_data_user_1,0.3347126848778098
2024-10-01_consumer_device_12_data_user_1,0.0162224229091189
2024-10-02_consumer_device_12_data_user_1,0.0339021652137271
2024-10-03_consumer_device_12_data_user_1,0.0339021652137271
2024-10-04_consumer_device_12_data_user_1,0.0162224229091189
2024-10-05_consumer_device_12_data_user_1,0.0339021652137271
2024-10-06_consumer_device_12_data_user_1,0.0339021652137271
2024-10-07_consumer_device_12_data_user_1,0.0162224229091189
2024-10-08_consumer_device_12_data_user_1,0.0162224229091189
2024-10-09_consumer_device_12_data_user_1,0.0193397961222908
2024-10-10_consumer_device_12_data_user_1,0.050076789422088
2024-10-11_consumer_device_12_data_user_1,0.0193397961222908
2024-10-12_consumer_device_12_data_user_1,0.0193397961222908
2024-10-13_consumer_device_12_data_user_1,0.0162224229091189
2024-10-14_consumer_device_12_data_user_1,0.0289706997239372
2024-10-15_consumer_device_12_data_user_1,0.1426263263231485
2024-10-16_consumer_device_12_data_user_1,0.8201680889135569
2024-10-17_consumer_device_12_data_user_1,0.1165428881315856
2024-10-18_consumer_device_12_data_user_1,0.1205637224732308
2024-10-19_consumer_device_12_data_user_1,0.1224450229449539
2024-10-20_consumer_device_12_data_user_1,0.1386942423662512
2024-10-21_consumer_device_12_data_user_1,0.0162224229091189
2024-10-22_consumer_device_12_data_user_1,0.0162224229091189
2024-10-23_consumer_device_12_data_user_1,0.0598273765893063
2024-10-24_consumer_device_12_data_user_1,0.1210405905979096
2024-09-24_consumer_device_12_data_user_10,0.0832631310579709
2024-09-25_consumer_device_12_data_user_10,0.097127033364155
2024-09-26_consumer_device_12_data_user_10,0.1712665159969001
2024-09-27_consumer_device_12_data_user_10,0.0482980711051604
2024-09-28_consumer_device_12_data_user_10,0.1211587160608141
2024-09-29_consumer_device_12_data_user_10,0.167441367895004
2024-09-30_consumer_device_12_data_user_10,0.2716507301913916
2024-10-01_consumer_device_12_data_user_10,0.0289706997239372
2024-10-02_consumer_device_12_data_user_10,0.0162224229091189
2024-10-03_consumer_device_12_data_user_10,0.0162224229091189
2024-10-04_consumer_device_12_data_user_10,0.0193397961222908
2024-10-05_consumer_device_12_data_user_10,0.0162224229091189
2024-10-06_consumer_device_12_data_user_10,0.0162224229091189
2024-10-07_consumer_device_12_data_user_10,0.0162224229091189
2024-10-08_consumer_device_12_data_user_10,0.0323970471174798
2024-10-09_consumer_device_12_data_user_10,0.0598273765893063
2024-10-10_consumer_device_12_data_user_10,0.0705948662610135
2024-10-11_consumer_device_12_data_user_10,0.0598273765893063
2024-10-12_consumer_device_12_data_user_10,0.0598273765893063
2024-10-13_consumer_device_12_data_user_10,0.0598273765893063
2024-10-14_consumer_device_12_data_user_10,0.0847893622369847
2024-10-15_consumer_device_12_data_user_10,0.0915442840444266
2024-10-16_consumer_device_12_data_user_10,0.4161886757022112
2024-10-17_consumer_device_12_data_user_10,0.0882746085656217
2024-10-18_consumer_device_12_data_user_10,0.1224450229449539
2024-10-19_consumer_device_12_data_user_10,0.1136114617941311
2024-10-20_consumer_device_12_data_user_10,0.2364425903899937
2024-10-21_consumer_device_12_data_user_10,0.0162224229091189
2024-10-22_consumer_device_12_data_user_10,0.0162224229091189
2024-10-23_consumer_device_12_data_user_10,0.0598273765893063
2024-10-24_consumer_device_12_data_user_10,0.0985883821515708
2024-09-24_consumer_device_12_data_user_11,0.1492497350802987
2024-09-25_consumer_device_12_data_user_11,0.1936510864427655
2024-09-26_consumer_device_12_data_user_11,0.121130007984244
2024-09-27_consumer_device_12_data_user_11,0.0491739452948204
2024-09-28_consumer_device_12_data_user_11,0.103546388646715
2024-09-29_consumer_device_12_data_user_11,0.1282918748577467
2024-09-30_consumer_device_12_data_user_11,0.3399979828639298
2024-10-01_consumer_device_12_data_user_11,0.0598273765893063
2024-10-02_consumer_device_12_data_user_11,0.0162224229091189
2024-10-03_consumer_device_12_data_user_11,0.0162224229091189
2024-10-04_consumer_device_12_data_user_11,0.0162224229091189
